knob,seed,metric,n_events,onpolicy_mean,v_true_pi0
10000,1032,rev,89,0.007025148253311116,0.00814766840343161
10000,1033,ctr,491,0.0491,0.04967408156579895
10000,1033,cvr,88,0.0088,0.00900742069857814
10000,1033,rev,88,0.006592774506146951,0.00814766840343161
10000,1034,ctr,476,0.0476,0.04967408156579895
10000,1034,cvr,79,0.0079,0.00900742069857814
10000,1034,rev,79,0.006396222199491832,0.00814766840343161
10000,1035,ctr,478,0.0478,0.04967408156579895
10000,1035,cvr,91,0.0091,0.00900742069857814
10000,1035,rev,91,0.008172519197517374,0.00814766840343161
10000,1036,ctr,511,0.0511,0.04967408156579895
10000,1036,cvr,88,0.0088,0.00900742069857814
10000,1036,rev,88,0.008394299551505438,0.00814766840343161
10000,1037,ctr,472,0.0472,0.04967408156579895
10000,1037,cvr,87,0.0087,0.00900742069857814
10000,1037,rev,87,0.007016046385581324,0.00814766840343161
10000,1038,ctr,518,0.0518,0.04967408156579895
10000,1038,cvr,105,0.0105,0.00900742069857814
10000,1038,rev,105,0.008127439529783943,0.00814766840343161
10000,1039,ctr,511,0.0511,0.04967408156579895
10000,1039,cvr,91,0.0091,0.00900742069857814
10000,1039,rev,91,0.007730740368522361,0.00814766840343161
50000,1000,ctr,2475,0.0495,0.04967408156579895
50000,1000,cvr,419,0.00838,0.00900742069857814
50000,1000,rev,419,0.00795649887559262,0.00814766840343161
50000,1001,ctr,2490,0.0498,0.04967408156579895
50000,1001,cvr,444,0.00888,0.00900742069857814
50000,1001,rev,444,0.008788346692561374,0.00814766840343161
50000,1002,ctr,2493,0.04986,0.04967408156579895
50000,1002,cvr,427,0.00854,0.00900742069857814
50000,1002,rev,427,0.007399293443779816,0.00814766840343161
50000,1003,ctr,2526,0.05052,0.04967408156579895
50000,1003,cvr,464,0.00928,0.00900742069857814
50000,1003,rev,464,0.008353939633746768,0.00814766840343161
50000,1004,ctr,2479,0.04958,0.04967408156579895
50000,1004,cvr,423,0.00846,0.00900742069857814
50000,1004,rev,423,0.008020220396733058,0.00814766840343161
50000,1005,ctr,2464,0.04928,0.04967408156579895
50000,1005,cvr,460,0.0092,0.00900742069857814
50000,1005,rev,460,0.008408654093673572,0.00814766840343161
50000,1006,ctr,2494,0.04988,0.04967408156579895
50000,1006,cvr,434,0.00868,0.00900742069857814
50000,1006,rev,434,0.007929731142858994,0.00814766840343161
50000,1007,ctr,2502,0.05004,0.04967408156579895
50000,1007,cvr,461,0.00922,0.00900742069857814
50000,1007,rev,461,0.008121021111179436,0.00814766840343161
50000,1008,ctr,2472,0.04944,0.04967408156579895
50000,1008,cvr,411,0.00822,0.00900742069857814
50000,1008,rev,411,0.007587766506144782,0.00814766840343161
50000,1009,ctr,2417,0.04834,0.04967408156579895
50000,1009,cvr,434,0.00868,0.00900742069857814
50000,1009,rev,434,0.0077684588518875265,0.00814766840343161
50000,1010,ctr,2516,0.05032,0.04967408156579895
50000,1010,cvr,446,0.00892,0.00900742069857814
50000,1010,rev,446,0.007944014198473933,0.00814766840343161
50000,1011,ctr,2524,0.05048,0.04967408156579895
50000,1011,cvr,464,0.00928,0.00900742069857814
50000,1011,rev,464,0.008393672460919507,0.00814766840343161
50000,1012,ctr,2512,0.05024,0.04967408156579895
50000,1012,cvr,441,0.00882,0.00900742069857814
50000,1012,rev,441,0.007919979184375358,0.00814766840343161
50000,1013,ctr,2431,0.04862,0.04967408156579895
50000,1013,cvr,413,0.00826,0.00900742069857814
50000,1013,rev,413,0.007491917674718839,0.00814766840343161
50000,1014,ctr,2507,0.05014,0.04967408156579895
50000,1014,cvr,457,0.00914,0.00900742069857814
50000,1014,rev,457,0.008489609893886052,0.00814766840343161
50000,1015,ctr,2479,0.04958,0.04967408156579895
50000,1015,cvr,452,0.00904,0.00900742069857814
50000,1015,rev,452,0.008442159484094675,0.00814766840343161
50000,1016,ctr,2432,0.04864,0.04967408156579895
50000,1016,cvr,437,0.00874,0.00900742069857814
